"policy_id","adopted_year","state_id"
"aboldeapen",1957,"AK"
"aborpreroe",1970,"AK"
"abortion_consent_1992_201",2004,"AK"
"abortion_medicai",1981,"AK"
"abortion_reform_prero",1970,"AK"
"absvot",1996,"AK"
"adultguardianshipandprotectiveproceedingsjurisdictionact",2008,"AK"
"advertban",1995,"AK"
"agreementondetainers",1981,"AK"
"agreementonqualificationsofeducationalpersonnel",1970,"AK"
"alcoholismandintoxicationtreatment",1972,"AK"
"allpass_seatbelt",1991,"AK"
"anatomicalgiftact2006",2008,"AK"
"antibully",2006,"AK"
"antistalk",1993,"AK"
"anyid2",1980,"AK"
"arbitrationact2000",2004,"AK"
"attendanceofoutofstatewitnesses",1962,"AK"
"autism",2012,"AK"
"banfaninc",1998,"AK"
"bangag",1998,"AK"
"bootcamp",1996,"AK"
"breastfeed",1998,"AK"
"candlim",2011,"AK"
"cappun",1976,"AK"
"ccreceipt",2008,"AK"
"cctheft",1978,"AK"
"chartersch",1995,"AK"
"childabu",1965,"AK"
"childabuse",1965,"AK"
"childcustodyjurisdictionandenforcementact",1998,"AK"
"childrest",1984,"AK"
"childseat",1984,"AK"
"colcanscr",2006,"AK"
"commoninterestownershipact1982",1985,"AK"
"compactforeducation",1980,"AK"
"compactonmentalhealth",1957,"AK"
"compactonplacementofchildren",1976,"AK"
"compcrime",1985,"AK"
"conservationeasementact",1989,"AK"
"const_protect",1997,"AK"
"corporlimits",1992,"AK"
"cpban",1994,"AK"
"crimeviccomp",1972,"AK"
"custodialtrustact",1994,"AK"
"damagereduce",1991,"AK"
"determinationofdeathact",1984,"AK"
"disclaimerofpropertyinterestsact",2010,"AK"
"dispositionofcommunitypropertyrightsatdeathact1971",1984,"AK"
"divisionofincomefortaxpurposes",1959,"AK"
"dnafelon",2003,"AK"
"driverlicensecompact",1986,"AK"
"drugs_boehmke_statrapag",1983,"AK"
"drugs_marijuana_decriminalizati",1975,"AK"
"drugs_medical_marijuan",1999,"AK"
"drugtest",1997,"AK"
"dui",2001,"AK"
"earlvot",2002,"AK"
"econdev",1991,"AK"
"education_corporal_punishment_b",1989,"AK"
"education_teacher_cert_h",1929,"AK"
"electronictransactionsact",2004,"AK"
"emcont_avail",2001,"AK"
"emergencymanagementassistancecompact",2002,"AK"
"enforcementofforeignjudgmentsact",1972,"AK"
"engonly",1998,"AK"
"entitytransactionsactmodel2007lastamended2013",2013,"AK"
"environment_air_pollution_contr",1959,"AK"
"eqrightam",1972,"AK"
"exemptionsactmodel",1982,"AK"
"fairemp",1953,"AK"
"famlim",1992,"AK"
"federallienregistrationact",1989,"AK"
"fetalhomic",2005,"AK"
"filmtaxcredit",2008,"AK"
"foia",1900,"AK"
"foreignmoneyjudgmentsrecognitionact",1972,"AK"
"funds_avail",1987,"AK"
"fundslife",1988,"AK"
"fundslifehea",1993,"AK"
"furlough",1986,"AK"
"gaymarban",1996,"AK"
"gayrights_ban_sodom",1962,"AK"
"gdl",1999,"AK"
"gender_disc_laws_post196",1969,"AK"
"genderrights_era_ratificatio",1972,"AK"
"genderrights_gender_equal_pa",1959,"AK"
"genderrights_nofault_divorc",1966,"AK"
"genderrights_state_era",1972,"AK"
"goodsam911",2008,"AK"
"governance_reform",1989,"AK"
