policy_id,adopted_year,state,state_name,long,lat,adoption_case,state_num
aboldeapen,1846,MI,Michigan,-84.5466,42.7336,1,21
aboldeapen,1852,RI,Rhode Island,-71.4087,41.827,1,38
aboldeapen,1853,WI,Wisconsin,-89.4007,43.0632,1,47
aboldeapen,1887,ME,Massachusetts,-69.7323,44.3294,1,20
aboldeapen,1911,MN,Minnesota,-93.1027,44.9446,1,8
aboldeapen,1915,ND,North Dakota,-100.7694,46.8084,1,27
aboldeapen,1957,AK,Alaska,-134.5721,58.3637,1,22
aboldeapen,1957,HI,Hawaii,-157.8219,21.292,1,30
aboldeapen,1958,DE,Delaware,-75.5136,39.1615,1,18
aboldeapen,1964,OR,Oregon,-123.0272,44.937,1,3
aboldeapen,1965,IA,Iowa,-93.6203,41.5888,1,33
aboldeapen,1965,NY,New York ,-73.7551,42.6517,1,2
aboldeapen,1965,VT,Vermont,-72.5716,44.2627,1,45
aboldeapen,1965,WV,West Virginia,-81.6354,38.3533,1,48
aboldeapen,1969,NM,New Mexico,-105.9381,35.6816,1,31
aborparc,1981,LA,Louisiana,-91.1882,30.4493,1,11
aborparc,1981,MA,Maine,-71.0568,42.3589,1,10
aborparc,1982,RI,Rhode Island,-71.4087,41.827,1,38
aborparc,1983,MO,Missouri,-92.1941,38.5698,1,23
aborparc,1984,IN,Indiana,-86.1563,39.767,1,46
aborparc,1987,AL,Alabama,-86.2996,32.3754,1,25
aborparc,1989,ME,Massachusetts,-69.7323,44.3294,1,20
aborparc,1989,WY,Wyoming,-104.8165,41.1389,1,49
aborparc,1990,SC,South Carolina,-81.0353,34.0007,1,39
aborparc,1991,MI,Michigan,-84.5466,42.7336,1,21
aborparc,1992,WI,Wisconsin,-89.4007,43.0632,1,47
aborparc,1994,KY,Kentucky,-84.8715,38.1894,1,16
aborparc,1994,PA,Pennsylvania,-76.8849,40.274,1,37
aborparc,1996,NC,North Carolina,-78.6434,35.7797,1,9
aborparc,1999,TN,Tennessee,-86.7821,36.1589,1,41
aborparn,1981,MN,Minnesota,-93.1027,44.9446,1,8
aborparn,1981,UT,Utah,-111.8882,40.7716,1,43
aborparn,1982,AZ,Arizona,-112.0738,33.4483,1,17
aborparn,1984,WV,West Virginia,-81.6354,38.3533,1,48
aborparn,1989,AR,Arkansas,-92.2789,34.7244,1,44
aborparn,1990,CT,Connecticut,-72.6732,41.7665,1,1
aborparn,1990,OH,Ohio,-83.0007,39.9622,1,34
aborparn,1991,GA,Georgia,-84.3897,33.7545,1,26
aborparn,1991,NE,Nebraska,-97.548,41.1786,1,28
aborparn,1992,KS,Kansas,-95.6815,39.0474,1,15
aborparn,1992,MD,Maryland,-76.5197,38.9693,1,19
aborparn,1992,TN,Tennessee,-86.7821,36.1589,1,41
aborparn,1996,DE,Delaware,-75.5136,39.1615,1,18
aborparn,1996,ID,Idaho,-116.2125,43.6021,1,36
aborparn,1998,SD,South Dakota,-100.3177,44.3776,1,40
aborparn,1998,VA,Virginia,-77.4339,37.5408,1,13
aborparn,2000,TX,Texas,-97.7452,30.2687,1,42
aborpreroe,1966,MS,Mississippi,-90.178,32.3122,1,24
aborpreroe,1967,CA,California,-121.4871,38.5737,1,0
aborpreroe,1967,CO,Colorado,-104.9881,39.7551,1,5
aborpreroe,1967,NC,North Carolina,-78.6434,35.7797,1,9
aborpreroe,1968,GA,Georgia,-84.3897,33.7545,1,26
aborpreroe,1968,MD,Maryland,-76.5197,38.9693,1,19
aborpreroe,1969,AR,Arkansas,-92.2789,34.7244,1,44
aborpreroe,1969,DE,Delaware,-75.5136,39.1615,1,18
aborpreroe,1969,KS,Kansas,-95.6815,39.0474,1,15
aborpreroe,1969,NM,New Mexico,-105.9381,35.6816,1,31
aborpreroe,1969,OR,Oregon,-123.0272,44.937,1,3
aborpreroe,1970,AK,Alaska,-134.5721,58.3637,1,22
aborpreroe,1970,HI,Hawaii,-157.8219,21.292,1,30
aborpreroe,1970,NY,New York ,-73.7551,42.6517,1,2
aborpreroe,1970,SC,South Carolina,-81.0353,34.0007,1,39
aborpreroe,1970,VA,Virginia,-77.4339,37.5408,1,13
aborpreroe,1970,WA,Washington,-122.9016,47.0449,1,4
aborpreroe,1972,FL,Florida,-84.2806,30.4382,1,12
abortion_consent_1973_199,1973,ID,Idaho,-116.2125,43.6021,1,36
abortion_consent_1973_199,1979,DE,Delaware,-75.5136,39.1615,1,18
abortion_consent_1973_199,1980,SD,South Dakota,-100.3177,44.3776,1,40
abortion_consent_1973_199,1981,MA,Maine,-71.0568,42.3589,1,10
abortion_consent_1992_201,1992,DE,Delaware,-75.5136,39.1615,1,18
abortion_consent_1992_201,1992,ID,Idaho,-116.2125,43.6021,1,36
abortion_consent_1992_201,1992,MA,Maine,-71.0568,42.3589,1,10
abortion_consent_1992_201,1992,MS,Mississippi,-90.178,32.3122,1,24
abortion_consent_1992_201,1992,PA,Pennsylvania,-76.8849,40.274,1,37
abortion_consent_1992_201,1992,SD,South Dakota,-100.3177,44.3776,1,40
abortion_consent_1992_201,1993,NE,Nebraska,-97.548,41.1786,1,28
abortion_consent_1992_201,1994,ND,North Dakota,-100.7694,46.8084,1,27
abortion_consent_1992_201,1994,OH,Ohio,-83.0007,39.9622,1,34
abortion_consent_1992_201,1994,UT,Utah,-111.8882,40.7716,1,43
abortion_consent_1992_201,1995,LA,Louisiana,-91.1882,30.4493,1,11
abortion_consent_1992_201,1995,SC,South Carolina,-81.0353,34.0007,1,39
abortion_consent_1992_201,1997,IN,Indiana,-86.1563,39.767,1,46
abortion_consent_1992_201,1997,KS,Kansas,-95.6815,39.0474,1,15
abortion_consent_1992_201,1999,MI,Michigan,-84.5466,42.7336,1,21
abortion_consent_1992_201,1999,WI,Wisconsin,-89.4007,43.0632,1,47
