policy_id,policy_start
antimis,1691
animcruel,1804
engonly,1811
sprinsch,1813
deaf,1822
nrmlsch,1839
utreg,1839
debtlim,1842
regulations_state_debt_limitati,1842
telgrareg,1845
aboldeapen,1846
foia,1851
compsch,1852
budgstd,1859
welfagy,1863
fish,1864
taxcom,1864
w_race_disc_public_accommodatio,1865
denlic,1868
boh,1869
laborag,1869
pharmlic,1874
homerul,1875
regulation_homerul,1875
ausbalsys,1878
prob,1878
merit,1883
forest,1885
parksys,1885
expsta,1887
regulation_utility_jurisdictio,1887
eqrightam,1890
libext,1890
labor_prevailing_wage_la,1891
roadshwy,1891
consgsoil,1892
hwyagen,1893
slains,1894
acctlic,1896
education_teacher_cert_h,1896
licenses_accountant,1896
teacsec,1896
archlic,1897
dirdem,1898
initiative,1898
chirolic,1899
juvct,1899
autoreg,1901
childlab,1901
dirprim,1901
legresea,1901
antiage,1903
nrslic,1903
stateptr,1903
airpol,1907
jucoen,1907
englic,1908
mothersaid,1911
mothpen,1911
retstate,1911
right2work,1911
truthsent,1911
workcom,1911
antiinj,1913
citzon,1913
beaulic,1914
minwage,1915
inctax,1916
realest,1917
equalpay,1919
gastax,1919
prkagcit,1919
appointmentofcommissioners,1921
cigtax,1921
intbar,1921
coloradorivercompact,1922
declaratoryjudgmentsact,1922
adcom,1925
alcbevcon,1926
segoss,1927
education_teacher_cert_elementa,1930
teacelm,1930
attendanceofoutofstatewitnesses,1931
casinoleg,1931
commercialcasino,1931
fairtrade,1931
parolesup,1931
legpre,1933
mlda21,1933
pubhouen,1933
stplnb,1933
recipsup,1934
anim_cruel_felonfirs,1935
genderrights_gender_equal_pa,1935
guncontrl_bc_private_handgu,1935
guncontrl_bc_private_rifl,1935
guncontrl_waitperiod_handgu,1935
guncontrol_licenses_dealer,1935
interstatecompacttoconserveoilandgas,1935
labor_age_discriminatio,1935
labor_state_retirement_syste,1935
pldvpag,1935
race_disc_publicaccom_agenc,1935
regulation_boehmke_shiel,1935
regulation_sedition_law,1935
shield,1935
w_animal_cruelty_felon,1935
w_educ_biblepubli,1935
w_educ_bibleschoo,1935
w_guncontrl_bc_dealer_handgu,1935
w_guncontrl_bc_dealer_rifl,1935
w_guncontrol_registration_requi,1935
w_guncontrol_waitingperio,1935
adc,1936
arts,1936
blind,1936
oldagea,1936
conacchwy,1937
crtadm,1937
fhpub,1937
labor_relations_tafthar,1937
labor_relations_wagne,1937
