policy_id,adopted_year,state,state_name,long,lat,adoption_case
aboldeapen,1957,AK,Alaska,-134.5721,58.3637,1
aborpreroe,1970,AK,Alaska,-134.5721,58.3637,1
abortion_consent_1992_201,2004,AK,Alaska,-134.5721,58.3637,1
abortion_medicai,1981,AK,Alaska,-134.5721,58.3637,1
abortion_reform_prero,1970,AK,Alaska,-134.5721,58.3637,1
absvot,1996,AK,Alaska,-134.5721,58.3637,1
adultguardianshipandprotectiveproceedingsjurisdictionact,2008,AK,Alaska,-134.5721,58.3637,1
advertban,1995,AK,Alaska,-134.5721,58.3637,1
agreementondetainers,1981,AK,Alaska,-134.5721,58.3637,1
agreementonqualificationsofeducationalpersonnel,1970,AK,Alaska,-134.5721,58.3637,1
alcoholismandintoxicationtreatment,1972,AK,Alaska,-134.5721,58.3637,1
allpass_seatbelt,1991,AK,Alaska,-134.5721,58.3637,1
anatomicalgiftact2006,2008,AK,Alaska,-134.5721,58.3637,1
antibully,2006,AK,Alaska,-134.5721,58.3637,1
antistalk,1993,AK,Alaska,-134.5721,58.3637,1
anyid2,1980,AK,Alaska,-134.5721,58.3637,1
arbitrationact2000,2004,AK,Alaska,-134.5721,58.3637,1
attendanceofoutofstatewitnesses,1962,AK,Alaska,-134.5721,58.3637,1
autism,2012,AK,Alaska,-134.5721,58.3637,1
banfaninc,1998,AK,Alaska,-134.5721,58.3637,1
bangag,1998,AK,Alaska,-134.5721,58.3637,1
bootcamp,1996,AK,Alaska,-134.5721,58.3637,1
breastfeed,1998,AK,Alaska,-134.5721,58.3637,1
candlim,2011,AK,Alaska,-134.5721,58.3637,1
cappun,1976,AK,Alaska,-134.5721,58.3637,1
ccreceipt,2008,AK,Alaska,-134.5721,58.3637,1
cctheft,1978,AK,Alaska,-134.5721,58.3637,1
chartersch,1995,AK,Alaska,-134.5721,58.3637,1
childabu,1965,AK,Alaska,-134.5721,58.3637,1
childabuse,1965,AK,Alaska,-134.5721,58.3637,1
childcustodyjurisdictionandenforcementact,1998,AK,Alaska,-134.5721,58.3637,1
childrest,1984,AK,Alaska,-134.5721,58.3637,1
childseat,1984,AK,Alaska,-134.5721,58.3637,1
colcanscr,2006,AK,Alaska,-134.5721,58.3637,1
commoninterestownershipact1982,1985,AK,Alaska,-134.5721,58.3637,1
compactforeducation,1980,AK,Alaska,-134.5721,58.3637,1
compactonmentalhealth,1957,AK,Alaska,-134.5721,58.3637,1
compactonplacementofchildren,1976,AK,Alaska,-134.5721,58.3637,1
compcrime,1985,AK,Alaska,-134.5721,58.3637,1
conservationeasementact,1989,AK,Alaska,-134.5721,58.3637,1
const_protect,1997,AK,Alaska,-134.5721,58.3637,1
corporlimits,1992,AK,Alaska,-134.5721,58.3637,1
cpban,1994,AK,Alaska,-134.5721,58.3637,1
crimeviccomp,1972,AK,Alaska,-134.5721,58.3637,1
