city	state	permalink	created_at	lat	long	adoption_case
Seattle	WA	ubyl-zbhagnva-oerjvat	6/30/09 21:50	47.630808	-122.374517	1
Hudson	MA	zrqhfn-oerjvat-pbzcnal	7/1/10 0:30	42.39095	-71.566769	1
Denver	Colorado	fgne-one-2aq	7/1/10 0:42	39.743029	-104.969927	1
West Hollywood	CA	gur-ubea	7/1/10 2:41	34.084443	-118.385162	1
Fairfax	Virginia	tlfcl-fbhy	7/1/09 15:41	38.873687	-77.230076	1
Chicago	IL	sng-jvyyl-f	7/1/12 16:14	41.930462	-87.688725	1
Fort Collins	CO	cngrebf-perrx-oerjvat	7/1/14 16:32	40.589988	-105.076418	1
Pasadena	CA	chapu	7/1/13 23:54	34.145522	-118.153826	1
NY	NY	205-pyho	7/2/14 19:04	40.722419	-73.992002	1
New York	NY	znxb-al	7/3/14 15:58	40.760481	-74.003246	1
Brooklyn	NY	gur-svapu	7/3/14 19:51	40.68682	-73.962868	1
Lewiston	ME	znepur-zr	7/7/14 16:57	44.097993	-70.21753	1
Traverse City	MI	genirefr-pvgl-juvfxrl	7/7/14 19:30	44.751643	-85.620905	1
Omaha	NE	becurhz-gurnger-ubyynaq-cresbezvat-negf-pragre	7/7/14 23:26	41.256086	-95.936878	1
Omaha	NE	ubyynaq-cresbezvat-negf-pragre	7/8/14 0:17	41.258652	-95.931836	1
Denver	CO	pnsr-pbyber	7/8/14 14:33	39.748407	-104.997604	1
Sanford	FL	fzbxrl-wbr-f-oneordhr	7/8/14 18:17	28.807303	-81.331719	1
Lewisville	TX	onqtref-ood	7/10/14 20:30	33.0429	-97.033738	1
Miami	FL	fgngvba-5	7/10/14 20:34	25.70453	-80.28831	1
Port Chester	NY	arffn	7/10/14 20:39	41.005827	-73.658805	1
South Bend	IN	gur-cho	7/10/14 22:38	41.70245	-86.199942	1
Pasadena	CA	cnfnqran-cvmmn-pb	7/11/14 0:29	34.151755	-118.113064	1
Brattleboro	VT	qhb-erfgnhenag-irezbag	7/11/14 18:58	42.853078	-72.558603	1
Denver	CO	qhb-erfgnhenag-qraire	7/11/14 19:35	39.762181	-105.016191	1
Boise	Idaho	tbar-ebthr-cho	7/11/14 19:37	43.613108	-116.206274	1
Summerville	SC	rin-f-ba-znva	7/11/14 21:46	33.019241	-80.175212	1
Brooklyn 	NY	pbbxyla	7/14/14 19:53	40.677055	-73.968681	1
New York	NY	r-f-one	7/15/14 15:08	40.78665	-73.975354	1
		neguhe-urael-f-fhccre-pyho	7/15/14 17:04	38.552183	-121.469394	1
Washington	DC	ngynf-oerj-jbexf	7/15/14 17:55	38.914857	-76.981435	1
Westport	CT	arng	7/15/14 21:00	41.141114	-73.364564	1
Gaithersburg 	MD	fuvfunonon-f-ubhfr-bs-ubbxnu	7/15/14 21:58	39.120671	-77.178072	1
Dallas	TX	gw-f-serfu-frnsbbq-znexrg-cerfgba-eblnyr	7/16/14 18:45	32.896317	-96.803179	1
Dallas	Texas	gw-f-serfu-frnsbbq-znexrg-bnx-ynja	7/16/14 18:57	32.820047	-96.802067	1
Vienna	VA	pnobbfr-oerjvat-pbzcnal	7/16/14 21:38	38.907732	-77.270579	1
Eugene	OR	ryx-ubea-oerjrel	7/17/14 16:51	44.04965	-123.082427	1
Brooklyn	NY	fnzhenv-znzn	7/17/14 21:24	40.714215	-73.960091	1
Germantown	MD	znelynaq-ubbxnu-gjb	7/17/14 21:28	39.178815	-77.271208	1
Brooklyn	NY	obmh	7/17/14 22:32	40.712827	-73.957562	1
Douglas	MI	gur-xveol	7/18/14 15:30	42.643641	-86.206807	1
Wilmington	DE	glyre-f	7/18/14 21:36	39.747238	-75.69893	1
Hartford	CT	arj-orne-f-fzbxrubhfr-oneorphr-jvaqfbe	7/21/14 14:47	41.761761	-72.670687	1
Annapolis	Maryland	cerfreir	7/21/14 16:17	38.977889	-76.489742	1
Wimberley	Texas	wboryy-pnsr-naqr-ovfgeb	7/21/14 18:50	30.04013	-98.103357	1
Fort Lauderdale	FL	cbfu-jvar-one	7/21/14 18:58	26.123234	-80.13678	1
Jersey City	NJ	gncunhf	7/21/14 20:53	40.721495	-74.031811	1
Hoboken	NJ	fzbxvat-oneery	7/21/14 21:02	40.753103	-74.029929	1
Columbus	OH	erfgber-pbyq-cerffrq	7/22/14 3:14	39.988501	-83.032495	1
Brooklyn	NY	g-o-q-oebbxyla	7/22/14 16:13	40.733337	-73.958003	1
Jonestown	TX	ebyyvat-guhaqre-ebnqubhfr	7/22/14 16:16	30.493562	-97.924195	1
Oak Bluffs	MA	erq-png-xvgpura	7/22/14 21:15	41.4568928	-70.5571154	1
New York	NY 	cerfgb-one-ol-fpbggb	7/23/14 19:00	40.749886	-73.97322	1
Saratoga	CA	fnengbtn-jvar-orre-tneqra	7/23/14 19:08	37.258275	-122.031776	1
Sarasota	FL	znggb-znggb-gjb	7/23/14 19:30	27.331622	-82.53875	1
Torrance	CA	ybh-f-ba-gur-uvyy	7/23/14 23:36	33.797813	-118.35031	1
Phoenix	Arizona	terrazvk	7/23/14 23:47	33.303559	-111.998552	1
New York	NY	o-b-o-xvgpura	7/24/14 4:23	40.756784	-73.966775	1
Elon	North Carolina	gur-bnx-ubhfr	7/24/14 15:51	36.101062	-79.506904	1
Carrboro	NC	wrffrr-f-pbssrr-naq-one	7/24/14 16:09	35.910736	-79.066605	1
Las Cruces	NM	sbeturqnobhqvg-cvmmn-yyp	7/24/14 18:43	32.310504	-106.74356	1
Portland	ME	prageny-cebivfvbaf	7/25/14 17:57	43.656028	-70.253784	1
Santa Fe	NM	yn-zrfvgn	7/25/14 18:41	35.881722	-106.012496	1
Chicago	IL	ivpr-qvfgevpg-oerjvat-pb	7/25/14 19:27	41.862493	-87.62447	1
Tulsa	OK	qbja-gbja-ghyfn	7/25/14 23:03	36.156401	-95.995255	1
Charlotte	NC	znynone-erfgnhenag	7/29/14 18:47	35.156338	-80.831878	1
Brooklyn	NY	wraavsre-f-pbeare	7/29/14 19:38	40.692181	-73.989136	1
Kenosha	Wisconsin	jvar-xabg-one-naq-ovfgeb	7/29/14 20:33	42.584771	-87.818231	1
Tampa	Fl	puevf-f-cynpr	7/29/14 22:17	27.940759	-82.510466	1
Tulsa	OK	phzva-synibe-bs-vaqvn	7/30/14 17:42	36.060789	-95.883908	1
Alexandria	VA	punv-rkcerff	7/30/14 18:12	38.815619	-77.131212	1
San Leandro	CA	pyrbcuhf-dhrnyl-orre-pbzcnal	7/30/14 18:58	37.721948	-122.191053	1
Philadelphia	PA	puunln-pnsr	7/30/14 20:27	39.927238	-75.166338	1
Eugene	OR	oryyl-gndhrevn	7/30/14 22:12	44.054784	-123.092954	1
Dripping Springs	TX	gur-zrepnagvyr-j-zrepre	7/30/14 23:05	30.192576	-98.089129	1
Evanston	IL	527-pnsr	7/31/14 14:04	42.046213	-87.679208	1
ASHEVILLE	NC	fbirervta-erzrqvrf	7/31/14 15:30	35.59666	-82.551371	1
New York	NY	pbssrr-oernx	7/31/14 15:37	40.751985	-73.96978	1
Fort Worth	TX	orneqrq-rry-pensg-oerjrel	7/31/14 19:00	32.860151	-97.364138	1
New Orleans	Louisiana	pnfn-obeertn	7/31/14 19:07	29.939496	-90.080768	1
Blackwood	NJ	fnxhen-fhfuv-wncnarfr-fgrnx-ubhfr	7/31/14 19:37	39.755479	-75.046669	1
Glen Ellyn 	Il	n-gbqn-znqer	7/31/14 20:02	41.87752	-88.066718	1
Chicago	IL	enzra-gnxrln	7/31/14 21:28	41.88664	-87.648367	1
