state	policy	created_at	lat	long	adoption_case
WA	ubyl-zbhagnva-oerjvat	6/30/09 21:50	47.630808	-122.374517	1
CA	gur-ubea	7/1/10 2:41	34.084443	-118.385162	1
CA	chapu	7/1/13 23:54	34.084443	-118.385162	1
CA	cnfnqran-cvmmn-pb	7/11/14 0:29	34.084443	-118.385162	1
CA	fnengbtn-jvar-orre-tneqra	7/23/14 19:08	34.084443	-118.385162	1
CA	ybh-f-ba-gur-uvyy	7/23/14 23:36	34.084443	-118.385162	1
NC	wrffrr-f-pbssrr-naq-one	7/24/14 16:09	35.910736	-79.066605	1
NC	znynone-erfgnhenag	7/29/14 18:47	35.910736	-79.066605	1
CA	pyrbcuhf-dhrnyl-orre-pbzcnal	7/30/14 18:58	34.084443	-118.385162	1
NC	fbirervta-erzrqvrf	7/31/14 15:30	35.910736	-79.066605	1
CA	orna-fcebhgf-bnxynaq	8/1/14 0:46	34.084443	-118.385162	1
CA	orna-fcebhgf-yn	8/1/14 1:03	34.084443	-118.385162	1
CA	orna-fcebhgf-benatr-pbhagl	8/1/14 1:12	34.084443	-118.385162	1
CA	orna-fcebhgf-fnhfnyvgb	8/1/14 1:22	34.084443	-118.385162	1
CA	ryzjbbq-pnsr	8/1/14 1:33	34.084443	-118.385162	1
CA	qbypr-pnsr-naq-onxrel	8/1/14 1:50	34.084443	-118.385162	1
CA	fbyhan	8/1/14 20:40	34.084443	-118.385162	1
CA	pncvpbyn-f	8/1/14 21:50	34.084443	-118.385162	1
CA	fbhf-orheer-xvgpura	8/1/14 21:57	34.084443	-118.385162	1
CA	zrybql-cvmmn	8/4/14 18:23	34.084443	-118.385162	1
CA	urnyqfohet-one-tevyy	8/5/14 0:00	34.084443	-118.385162	1
CA	rearfg-pbssrr-pb-bar	8/5/14 19:19	34.084443	-118.385162	1
CA 	rearfg-pbssrr-pb-gjb	8/5/14 19:36	34.084443	-118.385162	1
WA	oranebln-unyy	8/11/14 18:18	47.630808	-122.374517	1
CA	ubhfr-tbng	8/11/14 19:51	34.084443	-118.385162	1
CA	ehzbef	8/12/14 0:51	34.084443	-118.385162	1
CA	serfu-xnobof	8/13/14 22:20	34.084443	-118.385162	1
CA	zbaxvfu-oerjvat	8/18/14 22:55	34.084443	-118.385162	1
CA	znaqnyn-ybhatr	8/19/14 21:04	34.084443	-118.385162	1
WA	snyy-pvgl-ovfgeb	8/19/14 21:51	47.630808	-122.374517	1
NC	gur-jvar-pryyne	8/20/14 20:52	35.910736	-79.066605	1
WA	qre-uvagreubs-orre-tneqra	8/21/14 0:55	47.630808	-122.374517	1
CA	trpxb-trpxb	8/21/14 23:01	34.084443	-118.385162	1
CA	zrna-terraf	8/26/14 18:00	34.084443	-118.385162	1
CA	p2betnavpf	8/26/14 22:34	34.084443	-118.385162	1
CA	ynml-orne	8/26/14 22:51	34.084443	-118.385162	1
CA	wbivab-f-cvmmn	8/28/14 19:49	34.084443	-118.385162	1
CA	grfg-erfgnhenag	8/28/14 21:24	34.084443	-118.385162	1
CA	sn-fnv-gunv-phvfvar	8/30/14 0:08	34.084443	-118.385162	1
CA	fgngvba-one-tevyy	9/2/14 18:09	34.084443	-118.385162	1
CA	yvggyr-qbz-f	9/3/14 0:00	34.084443	-118.385162	1
CA	genqvat-cbfg-zbqrea	9/3/14 22:51	34.084443	-118.385162	1
CA	uvtu-fgerrg-fgngvba-pnsr	9/5/14 18:09	34.084443	-118.385162	1
WA	chawno-fjrrgf	9/8/14 23:43	47.630808	-122.374517	1
WA	aryy-f-erfgnhenag	9/10/14 20:59	47.630808	-122.374517	1
CA	zrybql-ybhatr-yn	9/11/14 19:58	34.084443	-118.385162	1
CA	nagvthn-phygheny-pbssrr-ubhfr	9/15/14 18:10	34.084443	-118.385162	1
CA	101-pbssrr-fubc	9/16/14 18:58	34.084443	-118.385162	1
CA	fvzcyrguvatf-fnaqjvpu-naq-cvr-fubc	9/16/14 22:49	34.084443	-118.385162	1
WA	gur-qbahg-ubyr-zrtna-f-grfg-nppbhag	9/17/14 21:09	47.630808	-122.374517	1
CA	qvivat-qbt-oerjubhfr	9/18/14 23:22	34.084443	-118.385162	1
CA	penml-perbyr-pnsr-sbbq-gehpx	9/19/14 20:35	34.084443	-118.385162	1
CA 	gxc-cebivfvbaf	9/19/14 21:36	34.084443	-118.385162	1
WA	znpf	9/22/14 19:55	47.630808	-122.374517	1
CA	sbhepurggr	9/25/14 15:22	34.084443	-118.385162	1
CA	gur-guerr-pyhof	9/27/14 2:23	34.084443	-118.385162	1
WA	heona-bavba	9/29/14 16:57	47.630808	-122.374517	1
CA 	yiq-jvar-one	10/1/14 22:28	34.084443	-118.385162	1
CA	guerr-jrniref	10/2/14 20:06	34.084443	-118.385162	1
CA	fgevatf-pnsr-2aq	10/7/14 21:08	34.084443	-118.385162	1
CA	svber	10/8/14 16:44	34.084443	-118.385162	1
CA 	fuvenm-erfgnhenag	10/8/14 17:00	34.084443	-118.385162	1
CA	urevgntr-rfgngrf	10/8/14 21:05	34.084443	-118.385162	1
CA	furyy-fubpx-erfgnhenag	10/10/14 22:03	34.084443	-118.385162	1
NC	yn-fuvfu	10/13/14 15:24	35.910736	-79.066605	1
WA	sbhagnva-pnsr	10/15/14 18:59	47.630808	-122.374517	1
CA	cub-znl	10/15/14 22:43	34.084443	-118.385162	1
CA	vebajbbq-nzrevpna-ovfgeb	10/20/14 17:45	34.084443	-118.385162	1
CA	erq-svfu-xvgpura	10/25/14 0:17	34.084443	-118.385162	1
CA	fvzcyr-guvatf-erfgnhenag-8310-j	10/28/14 16:51	34.084443	-118.385162	1
CA	fhfuv-nxngben-nyunzoen	10/31/14 20:01	34.084443	-118.385162	1
CA	cbpx-cbpx-cnq-gunv	11/4/14 0:24	34.084443	-118.385162	1
CA	fhfuv-nxngben-fha-bk	11/5/14 1:02	34.084443	-118.385162	1
CA	graqre	11/14/14 20:17	34.084443	-118.385162	1
CA	fvzcyl-fjrrgf	11/17/14 22:35	34.084443	-118.385162	1
CA	ry-ahrib-sehgvynaqvn	11/22/14 1:15	34.084443	-118.385162	1
CA	cna-oba-yvggyr-vgnyl	11/24/14 22:27	34.084443	-118.385162	1
CA	gvxxn-jencf-pheel-objyf	11/25/14 19:21	34.084443	-118.385162	1
CA	3-nynez-tevyy	11/26/14 21:41	34.084443	-118.385162	1
CA	fhafrg-erfreibve-oerjvat-pbzcnal	12/1/14 15:07	34.084443	-118.385162	1
CA	gur-fvyirefgne-tevyy	12/1/14 15:52	34.084443	-118.385162	1
