Id,V1,V2,Cluster
aboldeapen,0.308370208,0.147178635,1
aborparc,-0.165702605,-0.426607633,1
aborparn,0.438085109,0.061613012,1
aborpreroe,0.310570455,0.361479484,1
abortion_consent_1973_199,0.389543997,0.236740449,1
abortion_consent_1992_201,-0.388327677,-0.066864825,1
abortion_medicai,-0.299303749,0.134722301,1
abortion_partial_birt,-0.189057638,-0.222396271,1
abortion_reform_prero,-0.21640159,-0.413753305,1
absvot,-0.335796582,-0.277599391,1
acctlic,0.160141281,-0.38104328,1
adawork,-0.430998231,0.045750074,1
adc,-0.220959305,-0.414950203,1
adcom,-0.398948367,-0.002603567,1
admittpriv,-0.164799629,-0.101704283,1
adoptionact19531969,0.148745442,0.200283763,1
adoptionact1994,0.30070426,0.275766714,1
adultguardianshipandprotectiveproceedingsjurisdictionact,-0.320911236,-0.237716602,1
advertban,0.152023791,0.263247356,1
afdc_u,0.332887647,0.01755001,1
aging,0.157089496,-0.016922064,1
agreementondetainers,-0.037579823,-0.012104161,1
agreementonqualificationsofeducationalpersonnel,-0.190334665,-0.343436621,1
aidperm,0.053200126,0.368754773,1
airpol,0.272222628,-0.308575834,1
alcbevcon,-0.365307472,-0.217652087,1
alcoholismandintoxicationtreatment,-0.047820078,0.40728221,1
alctreat,-0.184981967,0.244131556,1
allpass_seatbelt,0.218346653,-0.008739203,1
amber,0.420353286,0.248074781,1
anatomicalgift1968,-0.451238437,-0.050980616,1
anatomicalgiftact1987,0.254660128,0.076323994,1
anatomicalgiftact2006,0.332830083,-0.241968941,1
anim_cruel_felonfirs,0.42889105,-0.133033227,1
animcruel,0.285812298,-0.314842754,1
anti_discrimination,-0.305679346,0.280355968,1
antiage,-0.022931546,-0.400133388,1
antibully,0.165967538,0.253159921,1
antiinj,-0.221198532,0.117292447,1
antishack,-0.26433009,-0.235883161,1
antistalk,-0.322128867,0.358529972,1
anyactnot,-0.273807042,-0.270098828,1
anyid2,0.136175818,-0.187383618,1
anyphotoid2,0.388118077,-0.016266244,1
apology,-0.227965299,0.191997186,1
appalachianstateslow_levelradioactivewastecompact,-0.29395132,-0.268074213,1
appointmentofcommissioners,-0.252187198,0.411312437,1
arbitrationact1956,0.216025662,0.24716796,1
arbitrationact2000,-0.259606094,0.163012203,1
archlic,-0.073143549,0.230615325,1
article1oftheuniformbusinessorganizationscodeubochub2011lastamended2013,0.091915544,-0.225698808,1
arts,0.049517101,-0.428717339,1
assignmentofrentsact,-0.37672288,0.316579723,1
athleteagentsact,0.313368454,0.20742329,1
athleteagentsact2015,-0.237944016,-0.305670733,1
atlanticstatesmarinefisheriescompact,-0.126146838,0.405240953,1
attendanceofoutofstatewitnesses,-0.072053441,0.237025811,1
audio_visualdeposition,-0.073992726,-0.109871315,1
ausbalsys,-0.373491265,-0.269060111,1
autism,-0.366061449,0.330687132,1
autoreg,-0.245500842,-0.322482781,1
autosaf,0.078335433,-0.235613019,1
banfaninc,0.343778918,0.368202636,1
bangag,0.293610763,-0.3163457,1
barbanstate,0.274541566,-0.28117614,1
beaulic,-0.04328506,-0.186921507,1
bikehelmet,-0.256218988,0.325781242,1
bldstds_yearadopted,-0.378273385,0.07492594,1
blind,-0.258479909,0.272755824,1
boehmke_snrpres,-0.361771739,0.353849863,1
boh,0.435193744,0.251762913,1
bootcamp,-0.285394004,0.022472608,1
bottle,0.3207871,0.22648606,1
bradycamp,-0.106774378,-0.324877667,1
breastdensity,-0.156882603,0.402601354,1
breastfeed,-0.175659465,0.444559726,1
broadcom,0.301543368,0.320699729,1
budgstd,0.071112938,-0.383577486,1
buildingcode,0.079404309,-0.200337138,1
businessorganizationscode,0.142518913,0.374271018,1
bustaxationprorationandreciprocityagreement,0.308586194,0.276861162,1
candlim,0.179230198,0.429829826,1
cappun,-0.287303573,-0.391055524,1
casinoleg,-0.14654069,-0.459387343,1
ccb,0.224907519,-0.176315605,1
ccreceipt,-0.331191455,-0.184715769,1
cctheft,-0.391618577,-0.289529109,1
cent,0.134607105,0.062776815,1
certificateoftitleforvesselsact,0.311411761,-0.388558284,1
certificationofquestionsoflaw1967,-0.448286937,0.068295133,1
certificationofquestionsoflaw1995,-0.078284956,-0.344400482,1
chartersch,0.208572647,-0.377850902,1
childabductionprevention,0.065521888,-0.471270879,1
childabu,0.390674675,0.029801617,1
